Time,Name,Country,Year
4:39.2,Lawrence Myers,USA,April 25 1885
4:39.2,Ernest Hjertberg,USA,May 10 1889
4:31.4,William Day,USA,February 5 1890
4:28.4,Ernest Hjertberg,USA,February 13 1892
4:26.0,Andrew Walsh,USA,November 30 1895
4:25.2,Melvin Sheppard,USA,January 26 1906
4:23.8,Melvin Sheppard,USA,March 30 1906
4:19.8,Herbert Trube,USA,February 13 1909
4:19.8,Oscar Hedlund,USA,February 22 1912
4:18.8,Oscar Hedlund,USA,February 12 1913
4:18.2,Abel Kiviat,USA,February 15 1913
4:16.0,John Overton,USA,March 10 1917
4:14.6,Joseph Ray,USA,April 12 1919
4:13.6,Paavo Nurmi,FIN,January 6 1925
4:13.4,Lloyd Hahn,USA,February 14 1925
4:12.0,Paavo Nurmi,FIN,March 7 1925
4:12.0,Joseph Ray,USA,March 17 1925
4:11.2,Gene Venzke,USA,February 6 1932
4:10.0,Gene Venzke,USA,February 17 1932
4:09.8,Glenn Cunningham,USA,March 25 1933
4:08.4,Glenn Cunningham,USA,March 17 1934
4:07.4,Glenn Cunningham,USA,March 12 1938
4:07.4,Charles Fenske,USA,February 3 1940
4:07.4,Charles Fenske,USA,February 17 1940
4:07.4,Leslie MacMitchell,USA,February 15 1941
4:07.4,Walter Mehl,USA,February 15 1941
4:07.3,Gilbert Dodds,USA,March 11 1944
4:06.4,Gilbert Dodds,USA,March 18 1944
4:05.3,Gilbert Dodds,USA,January 31 1948
4:04.9,Wes Santee,USA,February 15 1954
4:03.8,Wes Santee,USA,January 29 1955
4:03.6,Gunnar Nielsen,DEN,February 5 1955
4:03.4,Ronald Delany,IRL,March 14 1958
4:02.5,Ronald Delany,IRL,February 21 1959
4:01.4,Ronald Delany,IRL,March 7 1959
3:58.9,Jim Beatty,USA,February 10 1962
3:58.6,Jim Beatty,USA,February 15 1963
3:56.6,Tom O’Hara,USA,February 13 1964
3:56.4,Tom O’Hara,USA,March 6 1964
3:56.4,Jim Ryun,USA,February 19 1971
3:55.0,Tony Waldrop,USA,February 17 1974
3:54.93,Dick Buerkle,USA,January 13 1978
3:52.6,Eamonn Coghlan,IRL,February 16 1979
3:50.6,Eamonn Coghlan,IRL,February 20 1981
3:49.78,Eamonn Coghlan,IRL,February 27 1983
3:48.45,Hicham El Guerrouj,MAR,February 12 1997
