Time,Name,Country,Year
5:17.2,Brenda Cook,GBR,February 5 1966
5:03.6,Joyce Smith,GBR,February 12 1966
4:52.0,Doris Brown,USA,February 19 1966
4:40.4,Doris Brown,USA,February 18 1967
4:38.5,Debbie Heald,USA,March 17 1972
4:35.6,Francie Larrieu,USA,February 17 1973
4:34.6,Francie Larrieu,USA,February 2 1974
4:29.0,Francie Larrieu,USA,February 15 1975
4:28.5,Francie Larrieu,USA,March 3 1975
4:24.6,Mary Decker,USA,January 22 1982
4:21.47,Mary Decker,USA,February 12 1982
4:20.5,Mary Decker,USA,February 19 1982
4:18.86,Doina Melinte,ROU,February 13 1988
4:17.14,Doina Melinte,ROU,February 9 1990
4:13.31,Genbeze Dibaba,ETH,February 17 2016
