Time,Name,Country,Year
4:14.4,John Paul Jones,USA,May 31 1913
4:12.6,Norman Taber,USA,July 16 1915
4:10.4,Paavo Nurmi,FIN,August 23 1923
4:09.2,Jules Ladoumègue,FRA,October 4 1931
4:07.6,Jack Lovelock,NZL,July 15 1933
4:06.8,Glenn Cunningham,USA,June 16 1934
4:06.4,Sydney Wooderson,GBR,August 28 1937
4:06.2,Gunder Hägg,SWE,July 1 1942
4:06.2,Arne Andersson,SWE,July 10 1942
4:04.6,Gunder Hägg,SWE,September 4 1942
4:02.6,Arne Andersson,SWE,July 1 1943
4:01.6,Arne Andersson,SWE,July 18 1944
4:01.4,Gunder Hägg,SWE,July 17 1945
3:59.4,Roger Bannister,GBR,May 6 1954
3:58.0,John Landy,AUS,June 21 1954
3:57.2,Derek Ibbotson,GBR,July 19 1957
3:54.5,Herb Elliott,AUS,August 6 1958
3:54.4,Peter Snell,NZL,January 27 1962
3:54.1,Peter Snell,NZL,November 17 1964
3:53.6,Michel Jazy,FRA,June 9 1965
3:51.3,Jim Ryun,USA,July 17 1966
3:51.1,Jim Ryun,USA,June 23 1967
3:51.0,Filbert Bayi,TAN,May 17 1975
3:49.4,John Walker,NZL,August 12 1975
3:49.0,Sebastian Coe,GBR,July 17 1979
3:48.8,Steve Ovett,GBR,July 1 1980
3:48.53,Sebastian Coe,GBR,August 19 1981
3:48.40,Steve Ovett,GBR,August 26 1981
3:47.33,Sebastian Coe,GBR,August 28 1981
3:46.32,Steve Cram,GBR,July 27 1985
3:44.39,Noureddine Morceli,ALG,September 5 1993
3:43.13,Hicham El Guerrouj,MAR,July 7 1999
