Time,Name,Country,Year
4:37.0,Anne Rosemary Smith,GBR,June 3 1967
4:36.8,Maria Gommers,NED,June 14 1969
4:35.3,Ellen Tittel,GER,August 20 1971
4:29.5,Paola Cacchi,ITA,August 8 1973
4:23.8,Natalia Marasescu,ROM,May 21 1977
4:22.1,Natalia Marasescu,ROM,January 27 1979
4:21.7,Mary Decker,USA,January 26 1980
4:20.89,Lyudmila Veselkova,URS,September 12 1981
4:18.08,Mary Tabb,USA,July 9 1982
4:17.44,Maricica Puică,ROM,September 16 1982
4:16.71,Mary Slaney,USA,August 21 1985
4:15.61,Paula Ivan,ROM,July 10 1989
4:12.56,Svetlana Masterkova,RUS,August 14 1996
